InvoiceNo,TransactionDate,Customer_ID,Planet,UpdatedDate
536539,2010-12-01 00:00:00,15165,Abydos,2018-06-21 10:03:55
536540,2010-12-01 00:00:00,14911,Beachworld,2018-06-21 10:03:55
536541,2010-12-01 00:00:00,14911,Beachworld,2018-06-21 10:03:55
536542,2010-12-01 00:00:00,16456,Abydos,2018-06-21 10:03:55
536544,2010-12-01 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536551,2010-12-01 14:34:00,17346,Abydos,2018-06-21 10:03:55
536555,2010-12-01 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536556,2010-12-01 14:38:00,17643,Abydos,2018-06-21 10:03:55
536557,2010-12-01 00:00:00,17841,Abydos,2018-06-21 10:03:55
536558,2010-12-01 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536559,2010-12-01 00:00:00,17873,Abydos,2018-06-21 10:03:55
536560,2010-12-01 00:00:00,13093,Abydos,2018-06-21 10:03:55
536561,2010-12-01 00:00:00,12921,Abydos,2018-06-21 10:03:55
536562,2010-12-01 15:08:00,13468,Abydos,2018-06-21 10:03:55
536563,2010-12-01 00:00:00,17760,Abydos,2018-06-21 10:03:55
536564,2010-12-01 00:00:00,13468,Abydos,2018-06-21 10:03:55
536565,2010-12-01 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536566,2010-12-01 00:00:00,16928,Abydos,2018-06-21 10:03:55
536567,2010-12-01 00:00:00,16048,Abydos,2018-06-21 10:03:55
536568,2010-12-01 15:28:00,16048,Abydos,2018-06-21 10:03:55
536569,2010-12-01 00:00:00,16274,Abydos,2018-06-21 10:03:55
536570,2010-12-01 15:35:00,14496,Abydos,2018-06-21 10:03:55
536571,2010-12-01 00:00:00,14696,Abydos,2018-06-21 10:03:55
536572,2010-12-01 00:00:00,16539,Abydos,2018-06-21 10:03:55
536573,2010-12-01 00:00:00,17025,Abydos,2018-06-21 10:03:55
536574,2010-12-01 15:46:00,17025,Abydos,2018-06-21 10:03:55
536575,2010-12-01 00:00:00,13777,Abydos,2018-06-21 10:03:55
536576,2010-12-01 00:00:00,13777,Abydos,2018-06-21 10:03:55
536577,2010-12-02 00:00:00,13777,Abydos,2018-06-21 10:03:55
536578,2010-12-01 16:15:00,17690,Abydos,2018-06-21 10:03:55
536579,2010-12-01 00:00:00,13777,Abydos,2018-06-21 10:03:55
536580,2010-12-01 00:00:00,17690,Abydos,2018-06-21 10:03:55
536581,2010-12-01 00:00:00,13777,Abydos,2018-06-21 10:03:55
536582,2010-12-02 00:00:00,12947,Abydos,2018-06-21 10:03:55
536583,2010-12-01 00:00:00,13777,Abydos,2018-06-21 10:03:55
536584,2010-12-01 00:00:00,13777,Abydos,2018-06-21 10:03:55
536585,2010-12-01 16:24:00,17460,Abydos,2018-06-21 10:03:55
536586,2010-12-01 00:00:00,18229,Abydos,2018-06-21 10:03:55
536587,2010-12-01 16:33:00,14142,Abydos,2018-06-21 10:03:55
536588,2010-12-02 00:00:00,17069,Abydos,2018-06-21 10:03:55
536590,2010-12-01 00:00:00,13065,Abydos,2018-06-21 10:03:55
536591,2010-12-02 00:00:00,14606,Abydos,2018-06-21 10:03:55
536592,2010-12-01 17:06:00,Unknown,Abydos,2018-06-21 10:03:55
536593,2010-12-01 00:00:00,16835,Abydos,2018-06-21 10:03:55
536594,2010-12-01 00:00:00,15235,Abydos,2018-06-21 10:03:55
536595,2010-12-01 00:00:00,13576,Abydos,2018-06-21 10:03:55
536596,2010-12-02 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536597,2010-12-01 17:35:00,18011,Abydos,2018-06-21 10:03:55
536598,2010-12-02 00:00:00,13090,Abydos,2018-06-21 10:03:55
536599,2010-12-02 00:00:00,15694,Abydos,2018-06-21 10:03:55
536600,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536601,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536602,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536603,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536604,2010-12-02 00:00:00,14741,Abydos,2018-06-21 10:03:55
536605,2010-12-02 08:52:00,13715,Abydos,2018-06-21 10:03:55
536607,2010-12-02 00:00:00,17732,Abydos,2018-06-21 10:03:55
536608,2010-12-02 00:00:00,12855,Abydos,2018-06-21 10:03:55
536609,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536610,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536611,2010-12-02 00:00:00,15752,Abydos,2018-06-21 10:03:55
536612,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536613,2010-12-02 00:00:00,17855,Abydos,2018-06-21 10:03:55
536614,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536615,2010-12-02 00:00:00,14047,Abydos,2018-06-21 10:03:55
536616,2010-12-02 00:00:00,17925,Abydos,2018-06-21 10:03:55
536617,2010-12-02 00:00:00,13941,Abydos,2018-06-21 10:03:55
536618,2010-12-02 10:17:00,17017,Abydos,2018-06-21 10:03:55
536619,2010-12-02 00:00:00,17017,Abydos,2018-06-21 10:03:55
536620,2010-12-02 00:00:00,14135,Abydos,2018-06-21 10:03:55
536621,2010-12-02 00:00:00,13108,Abydos,2018-06-21 10:03:55
536623,2010-12-02 00:00:00,15601,Abydos,2018-06-21 10:03:55
536624,2010-12-02 00:00:00,13418,Abydos,2018-06-21 10:03:55
536626,2010-12-02 00:00:00,13418,Abydos,2018-06-21 10:03:55
536627,2010-12-02 00:00:00,15658,Abydos,2018-06-21 10:03:55
536628,2010-12-02 10:54:00,17850,Abydos,2018-06-21 10:03:55
536629,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536630,2010-12-02 10:56:00,17850,Abydos,2018-06-21 10:03:55
536631,2010-12-02 10:58:00,17850,Abydos,2018-06-21 10:03:55
536632,2010-12-02 00:00:00,14388,Abydos,2018-06-21 10:03:55
536633,2010-12-02 00:00:00,14901,Abydos,2018-06-21 10:03:55
536634,2010-12-02 00:00:00,18041,Abydos,2018-06-21 10:03:55
536635,2010-12-02 00:00:00,15955,Abydos,2018-06-21 10:03:55
536636,2010-12-02 00:00:00,15070,Abydos,2018-06-21 10:03:55
536637,2010-12-02 00:00:00,18041,Abydos,2018-06-21 10:03:55
536638,2010-12-02 00:00:00,16244,Abydos,2018-06-21 10:03:55
536639,2010-12-02 00:00:00,15111,Abydos,2018-06-21 10:03:55
536640,2010-12-02 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536641,2010-12-02 11:46:00,12748,Abydos,2018-06-21 10:03:55
536643,2010-12-02 00:00:00,14390,Abydos,2018-06-21 10:03:55
536663,2010-12-02 00:00:00,16546,Abydos,2018-06-21 10:03:55
536667,2010-12-02 00:00:00,15260,Abydos,2018-06-21 10:03:55
536670,2010-12-02 00:00:00,15260,Abydos,2018-06-21 10:03:55
536671,2010-12-02 12:10:00,13305,Abydos,2018-06-21 10:03:55
536672,2010-12-02 00:00:00,14491,Abydos,2018-06-21 10:03:55
536673,2010-12-02 00:00:00,14060,Abydos,2018-06-21 10:03:55
536674,2010-12-02 12:16:00,15923,Abydos,2018-06-21 10:03:55
536676,2010-12-02 12:18:00,16752,Abydos,2018-06-21 10:03:55
536681,2010-12-02 12:22:00,17287,Abydos,2018-06-21 10:03:55
536685,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536688,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536690,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536693,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536698,2010-12-02 00:00:00,15363,Abydos,2018-06-21 10:03:55
536707,2010-12-02 00:00:00,12915,Abydos,2018-06-21 10:03:55
536732,2010-12-02 00:00:00,15544,Abydos,2018-06-21 10:03:55
536733,2010-12-02 00:00:00,15738,Abydos,2018-06-21 10:03:55
536735,2010-12-02 00:00:00,17381,Abydos,2018-06-21 10:03:55
536736,2010-12-02 00:00:00,17381,Abydos,2018-06-21 10:03:55
536738,2010-12-02 00:00:00,15827,Abydos,2018-06-21 10:03:55
536739,2010-12-02 13:08:00,14180,Abydos,2018-06-21 10:03:55
536740,2010-12-02 00:00:00,15827,Abydos,2018-06-21 10:03:55
536741,2010-12-02 00:00:00,13117,Abydos,2018-06-21 10:03:55
536742,2010-12-02 00:00:00,16916,Abydos,2018-06-21 10:03:55
536743,2010-12-02 00:00:00,17964,Abydos,2018-06-21 10:03:55
536744,2010-12-02 00:00:00,14466,Abydos,2018-06-21 10:03:55
536745,2010-12-02 00:00:00,17235,Abydos,2018-06-21 10:03:55
536746,2010-12-02 13:39:00,16510,Abydos,2018-06-21 10:03:55
536747,2010-12-02 13:44:00,17802,Abydos,2018-06-21 10:03:55
536748,2010-12-02 00:00:00,15107,Abydos,2018-06-21 10:03:55
536749,2010-12-02 00:00:00,17976,Abydos,2018-06-21 10:03:55
536750,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536751,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536752,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536753,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536754,2010-12-02 00:00:00,14449,Abydos,2018-06-21 10:03:55
536755,2010-12-02 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536756,2010-12-02 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536759,2010-12-02 00:00:00,16781,Abydos,2018-06-21 10:03:55
536761,2010-12-02 00:00:00,13491,Abydos,2018-06-21 10:03:55
536762,2010-12-02 00:00:00,16186,Abydos,2018-06-21 10:03:55
536763,2010-12-02 00:00:00,17685,Abydos,2018-06-21 10:03:55
536769,2010-12-02 00:00:00,17581,Abydos,2018-06-21 10:03:55
536771,2010-12-02 00:00:00,17581,Abydos,2018-06-21 10:03:55
536777,2010-12-02 00:00:00,15732,Abydos,2018-06-21 10:03:55
536778,2010-12-02 00:00:00,13138,Abydos,2018-06-21 10:03:55
536779,2010-12-02 00:00:00,15823,Abydos,2018-06-21 10:03:55
536780,2010-12-02 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536781,2010-12-02 15:14:00,17460,Abydos,2018-06-21 10:03:55
536782,2010-12-02 00:00:00,17567,Abydos,2018-06-21 10:03:55
536783,2010-12-02 00:00:00,15061,Abydos,2018-06-21 10:03:55
536784,2010-12-02 15:20:00,15061,Abydos,2018-06-21 10:03:55
536785,2010-12-02 00:00:00,15061,Abydos,2018-06-21 10:03:55
536786,2010-12-02 00:00:00,15061,Abydos,2018-06-21 10:03:55
536787,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536788,2010-12-02 15:25:00,15061,Abydos,2018-06-21 10:03:55
536789,2010-12-02 00:00:00,17850,Abydos,2018-06-21 10:03:55
536790,2010-12-02 15:26:00,17850,Abydos,2018-06-21 10:03:55
536791,2010-12-02 15:27:00,17850,Abydos,2018-06-21 10:03:55
536792,2010-12-02 00:00:00,15061,Abydos,2018-06-21 10:03:55
536793,2010-12-02 00:00:00,16203,Abydos,2018-06-21 10:03:55
536794,2010-12-02 00:00:00,13767,Abydos,2018-06-21 10:03:55
536795,2010-12-02 00:00:00,15640,Abydos,2018-06-21 10:03:55
536796,2010-12-02 15:46:00,15574,Abydos,2018-06-21 10:03:55
536797,2010-12-02 00:00:00,16770,Abydos,2018-06-21 10:03:55
536798,2010-12-02 00:00:00,17838,Abydos,2018-06-21 10:03:55
536799,2010-12-02 16:00:00,17228,Abydos,2018-06-21 10:03:55
536800,2010-12-02 16:12:00,14829,Abydos,2018-06-21 10:03:55
536801,2010-12-02 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536802,2010-12-02 00:00:00,17412,Abydos,2018-06-21 10:03:55
536803,2010-12-02 00:00:00,14911,Beachworld,2018-06-21 10:03:55
536804,2010-12-02 00:00:00,14031,Abydos,2018-06-21 10:03:55
536805,2010-12-02 16:38:00,14775,Abydos,2018-06-21 10:03:55
536806,2010-12-02 00:00:00,12971,Abydos,2018-06-21 10:03:55
536808,2010-12-02 00:00:00,17659,Abydos,2018-06-21 10:03:55
536809,2010-12-02 00:00:00,15299,Abydos,2018-06-21 10:03:55
536810,2010-12-02 16:50:00,15299,Abydos,2018-06-21 10:03:55
536811,2010-12-02 00:00:00,15299,Abydos,2018-06-21 10:03:55
536813,2010-12-02 00:00:00,15646,Abydos,2018-06-21 10:03:55
536819,2010-12-02 00:00:00,13402,Abydos,2018-06-21 10:03:55
536821,2010-12-03 00:00:00,17757,Abydos,2018-06-21 10:03:55
536823,2010-12-02 00:00:00,13011,Abydos,2018-06-21 10:03:55
536824,2010-12-02 17:24:00,13798,Abydos,2018-06-21 10:03:55
536830,2010-12-02 00:00:00,16754,Abydos,2018-06-21 10:03:55
536831,2010-12-03 00:00:00,16029,Abydos,2018-06-21 10:03:55
536832,2010-12-02 00:00:00,16634,Abydos,2018-06-21 10:03:55
536833,2010-12-02 00:00:00,18239,Abydos,2018-06-21 10:03:55
536834,2010-12-02 17:51:00,14576,Abydos,2018-06-21 10:03:55
536835,2010-12-02 00:00:00,13145,Abydos,2018-06-21 10:03:55
536836,2010-12-02 00:00:00,18168,Abydos,2018-06-21 10:03:55
536837,2010-12-02 00:00:00,14395,Abydos,2018-06-21 10:03:55
536838,2010-12-02 00:00:00,14865,Abydos,2018-06-21 10:03:55
536839,2010-12-02 00:00:00,15093,Abydos,2018-06-21 10:03:55
536840,2010-12-02 00:00:00,12738,Athas,2018-06-21 10:03:55
536841,2010-12-02 18:27:00,16150,Abydos,2018-06-21 10:03:55
536842,2010-12-02 00:00:00,17552,Abydos,2018-06-21 10:03:55
536843,2010-12-02 00:00:00,17552,Abydos,2018-06-21 10:03:55
536844,2010-12-02 18:49:00,14236,Abydos,2018-06-21 10:03:55
536845,2010-12-03 00:00:00,17961,Abydos,2018-06-21 10:03:55
536846,2010-12-03 00:00:00,14573,Abydos,2018-06-21 10:03:55
536847,2010-12-03 00:00:00,17135,Abydos,2018-06-21 10:03:55
536848,2010-12-03 00:00:00,13408,Abydos,2018-06-21 10:03:55
536849,2010-12-03 00:00:00,17396,Abydos,2018-06-21 10:03:55
536851,2010-12-03 00:00:00,12967,Abydos,2018-06-21 10:03:55
536852,2010-12-03 00:00:00,12686,Altair IV,2018-06-21 10:03:55
536856,2010-12-03 00:00:00,13370,Abydos,2018-06-21 10:03:55
536857,2010-12-03 10:33:00,16883,Abydos,2018-06-21 10:03:55
536858,2010-12-03 00:00:00,13520,Byss,2018-06-21 10:03:55
536859,2010-12-03 00:00:00,12841,Abydos,2018-06-21 10:03:55
536860,2010-12-03 00:00:00,16905,Abydos,2018-06-21 10:03:55
536861,2010-12-03 00:00:00,12427,Athas,2018-06-21 10:03:55
536862,2010-12-03 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536863,2010-12-03 00:00:00,17967,Abydos,2018-06-21 10:03:55
536864,2010-12-03 11:27:00,Unknown,Abydos,2018-06-21 10:03:55
536865,2010-12-03 11:28:00,Unknown,Abydos,2018-06-21 10:03:55
536866,2010-12-03 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536874,2010-12-03 00:00:00,16891,Abydos,2018-06-21 10:03:55
536876,2010-12-03 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536883,2010-12-03 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536884,2010-12-03 00:00:00,14589,Abydos,2018-06-21 10:03:55
536885,2010-12-03 00:00:00,Unknown,Beachworld,2018-06-21 10:03:55
536890,2010-12-03 00:00:00,14156,Beachworld,2018-06-21 10:03:55
536920,2010-12-03 12:01:00,Unknown,Abydos,2018-06-21 10:03:55
536938,2010-12-03 00:00:00,14680,Abydos,2018-06-21 10:03:55
536941,2010-12-03 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536942,2010-12-03 12:08:00,Unknown,Abydos,2018-06-21 10:03:55
536943,2010-12-03 00:00:00,17884,Abydos,2018-06-21 10:03:55
536944,2010-12-03 00:00:00,12557,Canopus III,2018-06-21 10:03:55
536945,2010-12-03 12:24:00,14083,Abydos,2018-06-21 10:03:55
536946,2010-12-03 12:28:00,13013,Abydos,2018-06-21 10:03:55
536947,2010-12-03 12:29:00,13013,Abydos,2018-06-21 10:03:55
536954,2010-12-03 00:00:00,17809,Abydos,2018-06-21 10:03:55
536956,2010-12-03 00:00:00,14210,Abydos,2018-06-21 10:03:55
536957,2010-12-03 00:00:00,17809,Abydos,2018-06-21 10:03:55
536960,2010-12-03 00:00:00,16477,Abydos,2018-06-21 10:03:55
536967,2010-12-03 00:00:00,12600,Athas,2018-06-21 10:03:55
536968,2010-12-03 00:00:00,16013,Abydos,2018-06-21 10:03:55
536969,2010-12-03 00:00:00,16013,Abydos,2018-06-21 10:03:55
536970,2010-12-03 13:12:00,17949,Abydos,2018-06-21 10:03:55
536971,2010-12-03 13:40:00,12779,Ceti Alpha V,2018-06-21 10:03:55
536972,2010-12-03 00:00:00,16926,Abydos,2018-06-21 10:03:55
536973,2010-12-03 00:00:00,17787,Abydos,2018-06-21 10:03:55
536974,2010-12-03 13:59:00,12682,Altair IV,2018-06-21 10:03:55
536975,2010-12-03 00:00:00,14911,Beachworld,2018-06-21 10:03:55
536976,2010-12-03 00:00:00,14723,Abydos,2018-06-21 10:03:55
536977,2010-12-03 14:18:00,17954,Abydos,2018-06-21 10:03:55
536980,2010-12-03 00:00:00,17819,Abydos,2018-06-21 10:03:55
536981,2010-12-03 00:00:00,14723,Abydos,2018-06-21 10:03:55
536982,2010-12-03 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536983,2010-12-03 14:30:00,12712,Athas,2018-06-21 10:03:55
536984,2010-12-03 14:35:00,17841,Abydos,2018-06-21 10:03:55
536985,2010-12-03 00:00:00,15373,Abydos,2018-06-21 10:03:55
536986,2010-12-03 00:00:00,16140,Abydos,2018-06-21 10:03:55
536987,2010-12-03 00:00:00,17198,Abydos,2018-06-21 10:03:55
536988,2010-12-03 15:05:00,17238,Abydos,2018-06-21 10:03:55
536989,2010-12-03 00:00:00,17238,Abydos,2018-06-21 10:03:55
536990,2010-12-03 00:00:00,12793,Dozaria,2018-06-21 10:03:55
536991,2010-12-03 00:00:00,Unknown,Abydos,2018-06-21 10:03:55
536992,2010-12-03 00:00:00,15769,Abydos,2018-06-21 10:03:55
536993,2010-12-03 00:00:00,14396,Abydos,2018-06-21 10:03:55
536994,2010-12-03 00:00:00,14898,Abydos,2018-06-21 10:03:55
537022,2010-12-03 00:00:00,12725,Gamma X,2018-06-21 10:03:55
537023,2010-12-03 16:02:00,16725,Abydos,2018-06-21 10:03:55
537025,2010-12-03 16:21:00,Unknown,Abydos,2018-06-21 10:03:55
537026,2010-12-03 00:00:00,12395,Geonosis,2018-06-21 10:03:55
537030,2010-12-03 16:44:00,16455,Abydos,2018-06-21 10:03:55
537031,2010-12-04 00:00:00,16455,Abydos,2018-06-21 10:03:55
537034,2010-12-03 17:20:00,13081,Abydos,2018-06-21 10:03:55
537035,2010-12-04 00:00:00,13081,Abydos,2018-06-21 10:03:55
537036,2010-12-04 00:00:00,15545,Abydos,2018-06-21 10:03:55
537037,2010-12-05 00:00:00,17243,Abydos,2018-06-21 10:03:55
537038,2010-12-05 00:00:00,15465,Abydos,2018-06-21 10:03:55
537040,2010-12-05 00:00:00,13089,Abydos,2018-06-21 10:03:55
537041,2010-12-05 00:00:00,16033,Abydos,2018-06-21 10:03:55
537042,2010-12-05 00:00:00,13838,Abydos,2018-06-21 10:03:55
537044,2010-12-05 00:00:00,18055,Abydos,2018-06-21 10:03:55
537045,2010-12-05 10:54:00,15038,Abydos,2018-06-21 10:03:55
537046,2010-12-05 00:00:00,18109,Abydos,2018-06-21 10:03:55
537047,2010-12-05 00:00:00,13069,Abydos,2018-06-21 10:03:55
537048,2010-12-05 00:00:00,13069,Abydos,2018-06-21 10:03:55
537049,2010-12-05 11:04:00,16241,Abydos,2018-06-21 10:03:55
537050,2010-12-05 00:00:00,14800,Abydos,2018-06-21 10:03:55
537051,2010-12-05 00:00:00,15708,Abydos,2018-06-21 10:03:55
537052,2010-12-05 00:00:00,16839,Abydos,2018-06-21 10:03:55
537053,2010-12-05 00:00:00,16168,Abydos,2018-06-21 10:03:55
537054,2010-12-05 00:00:00,16931,Abydos,2018-06-21 10:03:55
537055,2010-12-05 00:00:00,16814,Abydos,2018-06-21 10:03:55
537057,2010-12-05 00:00:00,15351,Abydos,2018-06-21 10:03:55
537058,2010-12-05 11:51:00,13269,Abydos,2018-06-21 10:03:55
537059,2010-12-05 00:00:00,14813,Abydos,2018-06-21 10:03:55
537065,2010-12-05 00:00:00,12567,Altair IV,2018-06-21 10:03:55
537067,2010-12-05 00:00:00,14813,Abydos,2018-06-21 10:03:55
537077,2010-12-05 00:00:00,17062,Abydos,2018-06-21 10:03:55
537081,2010-12-05 00:00:00,15332,Gunsmoke,2018-06-21 10:03:55
537086,2010-12-05 00:00:00,15332,Gunsmoke,2018-06-21 10:03:55
537090,2010-12-05 12:02:00,15332,Gunsmoke,2018-06-21 10:03:55
537111,2010-12-05 12:08:00,14810,Abydos,2018-06-21 10:03:55
537117,2010-12-05 00:00:00,16353,Abydos,2018-06-21 10:03:55
537126,2010-12-05 12:13:00,18118,Abydos,2018-06-21 10:03:55
537127,2010-12-05 00:00:00,13831,Abydos,2018-06-21 10:03:55
537128,2010-12-05 00:00:00,12841,Abydos,2018-06-21 10:03:55
537129,2010-12-05 00:00:00,13506,Abydos,2018-06-21 10:03:55
537130,2010-12-05 00:00:00,17796,Abydos,2018-06-21 10:03:55
537131,2010-12-05 00:00:00,15716,Abydos,2018-06-21 10:03:55
537133,2010-12-05 00:00:00,18156,Abydos,2018-06-21 10:03:55
